ANG,TRQ,ANG_pred,TRQ pred,MAE,Anomaly
31.0,2441.0,32.7928,2430.8296,0.008440263569355011,False
84.0,2427.0,85.12915,2415.8843,0.007562652230262756,False
-58.999996,2441.0,-57.524677,2432.9114,0.006811738014221191,False
-20.000004,2441.0,-18.475166,2431.2231,0.0077161043882369995,False
79.0,2374.0,80.321686,2362.359,0.008198663592338562,False
47.0,2441.0,48.583344,2430.3213,0.008263371884822845,False
-30.999996,2441.0,-29.272982,2430.8884,0.00828060507774353,False
-30.999996,2441.0,-29.272982,2430.8884,0.00828060507774353,False
-54.999996,2442.0,-53.38646,2433.323,0.007369130849838257,False
-25.0,2442.0,-23.39599,2432.0566,0.00795409083366394,False
-70.00001,2517.0,-69.640175,2515.1921,0.0015827417373657227,False
-65.00001,2466.0,-64.09205,2460.359,0.004508346319198608,False
63.0,2381.0,64.42184,2369.0728,0.00853566825389862,False
-69.00001,2461.0,-68.21484,2455.7576,0.004072427749633789,False
-94.99999,2725.0,-95.31324,2718.1306,0.003903716802597046,False
48.0,2441.0,49.56407,2430.2812,0.008243948221206665,False
41.0,2438.0,42.68863,2427.403,0.008435234427452087,False
-21.000002,2441.0,-19.460182,2431.187,0.007763415575027466,False
-2.9999983,2442.0,-1.4698917,2432.5698,0.007561430335044861,False
83.0,2429.0,84.1128,2417.8152,0.007562816143035889,False
53.0,2436.0,54.467056,2424.8,0.008279263973236084,False
-19.000004,2441.0,-17.488766,2431.259,0.00767180323600769,False
-116.00001,2985.0,-116.126495,2975.1875,0.004933610558509827,False
-31.999996,2442.0,-30.263254,2431.8938,0.008297517895698547,False
53.0,2441.0,54.45939,2430.069,0.008135557174682617,False
-77.0,2542.0,-76.762955,2541.2542,0.000830233097076416,False
-30.999996,2441.0,-29.272982,2430.8884,0.00828060507774353,False
-90.99999,2583.0,-90.70855,2581.8801,0.0011176466941833496,False
-55.999996,2441.0,-54.408463,2432.43,0.0072740912437438965,False
39.0,2419.0,40.746933,2408.0662,0.008712589740753174,False
89.0,2473.0,90.17431,2465.8442,0.005764171481132507,False
-31.999996,2442.0,-30.263254,2431.8938,0.008297517895698547,False
122.0,2414.0,124.352646,2421.3542,0.008217841386795044,False
-79.0,2610.0,-78.84439,2607.4766,0.0015152394771575928,False
-88.99999,2655.0,-89.04834,2650.6643,0.002164900302886963,False
-82.0,2542.0,-81.76572,2541.2986,0.0008036494255065918,False
-92.99999,2739.0,-93.28095,2730.8193,0.004464536905288696,False
-107.0,2902.0,-107.11574,2893.2798,0.004391193389892578,False
65.0,2444.0,66.19249,2432.8184,0.007720857858657837,False
-80.0,2656.0,-79.95239,2649.9917,0.002961188554763794,False
-71.0,2428.0,-69.91849,2421.7148,0.005163043737411499,False
-37.0,2442.0,-35.191372,2431.8992,0.008438780903816223,False
-65.00001,2457.9998,-64.00229,2451.863,0.004924565553665161,False
-104.0,2889.0,-104.107925,2879.8813,0.004565536975860596,False
-43.000004,2442.0,-41.165474,2432.1072,0.008391574025154114,False
21.000002,2441.0,22.824463,2431.0825,0.008383035659790039,False
-46.000004,2442.0,-44.185055,2432.308,0.00825643539428711,False
-32.999996,2441.0,-31.237581,2430.8633,0.008363395929336548,False
-73.0,2470.0,-72.45914,2465.93,0.0030241310596466064,False
2.9999983,2441.0,4.630505,2431.5173,0.0077873170375823975,False
